Country Code,Region
AFG,Asia
ALB,Europe
DZA,Africa
AND,Europe
AGO,Africa
ATG,North America
ARB,North America
ARG,South America
ARM,Asia
ABW,North America
AUS,Oceania
AUT,Europe
AZE,Asia
BHS,North America
BHR,Asia
BGD,Asia
BRB,North America
BLR,Europe
BEL,Europe
BLZ,North America
BEN,Africa
BMU,North America
BTN,Asia
BOL,South America
BIH,Europe
BWA,Africa
BRA,South America
BRN,Asia
BGR,Europe
BFA,Africa
BDI,Africa
CPV,Africa
KHM,Asia
CMR,Africa
CAN,North America
CYM,North America
CAF,Africa
CEB,Asia
TCD,Africa
CHL,South America
CHN,Asia
COL,South America
COM,Africa
COD,Africa
COG,Africa
CRI,North America
CIV,Africa
HRV,Europe
CUB,North America
CYP,Asia
CZE,Europe
DNK,Europe
DJI,Africa
DMA,North America
DOM,North America
EAR,Antarctica
EAS,Europe
TEA,Europe
ECU,South America
EGY,Africa
SLV,North America
GNQ,Africa
ERI,Africa
EST,Europe
SWZ,Africa
ETH,Africa
ECS,Europe
ECA,Europe
TEC,Europe
FRO,Europe
FJI,Oceania
FIN,Europe
FRA,Europe
PYF,Oceania
GAB,Africa
GMB,Africa
GEO,Asia
DEU,Europe
GHA,Africa
GRC,Europe
GRL,North America
GRD,North America
GUM,Oceania
GTM,North America
GIN,Africa
GNB,Africa
GUY,South America
HTI,North America
HIC,Africa
HND,North America
HKG,Asia
HUN,Europe
ISL,Europe
IDA,North America
IND,Asia
IDN,Asia
IRN,Asia
IRQ,Asia
IRL,Europe
ISR,Asia
ITA,Europe
JAM,North America
JPN,Asia
JOR,Asia
KAZ,Asia
KEN,Africa
KIR,Oceania
KOR,Asia
KWT,Asia
KGZ,Asia
LAO,Asia
LTE,North America
LAC,Europe
TLA,Europe
LVA,Europe
LBN,Asia
LSO,Africa
LBR,Africa
LBY,Africa
LIE,Europe
LTU,Europe
LMY,Europe
LIC,Europe
LUX,Europe
MAC,Asia
MDG,Africa
MWI,Africa
MYS,Asia
MDV,Asia
MLI,Africa
MLT,Europe
MHL,Oceania
MRT,Africa
MUS,Asia
MEX,North America
FSM,Oceania
MEA,Europe
MNA,Asia
MIC,Oceania
MDA,Europe
MNG,Asia
MNE,Europe
MAR,Africa
MOZ,Africa
MMR,Asia
NAM,Africa
NRU,Oceania
NPL,Asia
NLD,Europe
NCL,Oceania
NZL,Oceania
NIC,North America
NER,Africa
NGA,Africa
NAC,Europe
MKD,Europe
NOR,Europe
OMN,Asia
OSS,Africa
PAK,Asia
PLW,Oceania
PAN,North America
PNG,Oceania
PRY,South America
PER,South America
PHL,Asia
POL,Europe
PRT,Europe
PST,Europe
PRE,Asia
PRI,North America
QAT,Asia
ROU,Europe
RUS,Europe
RWA,Africa
WSM,Oceania
STP,Africa
SAU,Asia
SEN,Africa
SRB,Europe
SYC,Africa
SLE,Africa
SGP,Asia
SVK,Europe
SVN,Europe
SST,Europe
SLB,Oceania
SOM,Africa
ZAF,Africa
SAS,Africa
TSA,Europe
SSD,Africa
ESP,Europe
LKA,Asia
KNA,North America
LCA,North America
VCT,North America
SSA,Africa
SDN,Africa
SUR,South America
SWE,Europe
CHE,Europe
SYR,Asia
TJK,Asia
TZA,Africa
THA,Asia
TLS,Continent not found
TGO,Africa
TON,Oceania
TTO,North America
TUN,Africa
TUR,Asia
TKM,Asia
TCA,North America
TUV,Oceania
UGA,Africa
UKR,Europe
ARE,Asia
GBR,Europe
USA,North America
URY,South America
UZB,Asia
VUT,Oceania
VEN,South America
VNM,Asia
VIR,North America
PSE,Asia
YEM,Asia
ZMB,Africa
ZWE,Africa
