Country Name,Country Code,Region,year,Access to electricity (% of pop),Agricultural land (% of land area),Agricultural raw materials exports (% ),Agricultural raw materials imports (%),Agriculture value added (% of GDP),Arable land (% of land area),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment),Livestock production index,Mineral rents (% of GDP),Population,Rural population (% of total population),GDP per capita (US$)
Afghanistan,AFG,Asia,2008-01-01,42.4,58.06757957,5.033139549,0.002370971,24.89227001,11.93824097,8.932,59.29399872,98.86,0.0,27722276.0,76.68,364.6607448
Afghanistan,AFG,Asia,2018-01-01,98.71320343,58.051751775999996,17.1133036,1.895384611,20.25276357,11.913733418,6.423,43.38399887,101.53866666666666,0.006653718,37172386.0,74.505,524.1628809
Albania,ALB,Europe,2012-01-01,99.9,43.84306748,2.397569629,0.906949319,18.76679918,22.59488962,6.996,46.04299927,108.27,0.371603481,2900401.0,45.67,4247.629984
Albania,ALB,Europe,2013-01-01,100.0,43.33211857,2.302926494,0.953042303,19.56517622,22.52189692,7.096,44.19800186,110.78,0.316489115,2895092.0,44.613,4413.060861
Albania,ALB,Europe,2014-01-01,100.0,42.8573007,1.269113051,0.644753212,19.99015369,22.46715239,7.219,42.88899994,111.07,0.378319322,2889104.0,43.577,4578.631994
Albania,ALB,Europe,2015-01-01,100.0,42.85766602,2.276357574,0.862028449,19.78022452,22.44890422,7.367,41.36299896,111.72,0.258209106,2880703.0,42.566,3952.801215
Albania,ALB,Europe,2016-01-01,100.0,43.12773544,2.401105813,0.978466659,19.84997587,22.63868569,7.534,39.75899887,113.07,0.013290146,2876101.0,41.579,4124.055726
Albania,ALB,Europe,2017-01-01,100.0,42.074469534090916,0.440336901,0.87690089,19.02212607,21.61778349363636,7.714,38.20399857,97.19363636363637,0.024025162,2873457.0,40.617,4531.020806
Albania,ALB,Europe,2018-01-01,100.0,42.074469534090916,0.31384871,0.660188707,18.44093062,21.61778349363636,7.898,37.31399918,97.19363636363637,0.14925837,2866376.0,39.681,5284.380184
Algeria,DZA,Africa,2009-01-01,98.74726868,17.37385273,0.007355956,1.462727208,9.343900482,3.146019297,4.643,13.01599979,110.34,0.194337709,35333881.0,33.174,3883.261271
Algeria,DZA,Africa,2010-01-01,98.87762451,17.37133356,0.015787863,1.607337354,8.466760065,3.149798047,4.656,11.85700035,117.33,0.169401853,35977455.0,32.46,4480.799271
Algeria,DZA,Africa,2011-01-01,99.04978943,17.37721162,0.024537508,1.515366751,8.110220029,3.149798047,4.67,10.77000046,127.34,0.166316316,36661444.0,31.764,5455.853529
Algeria,DZA,Africa,2012-01-01,98.76466047,17.38149059,0.009785631,1.480853114,8.770674349,3.151687422,4.685,10.69299984,135.31,0.166296957,37383887.0,31.085,5592.257099
Algeria,DZA,Africa,2013-01-01,99.53858185,17.39553462,0.012085987,1.44271417,9.851693006,3.147362934,4.699,10.61499977,141.95,0.092583488,38140132.0,30.424,5499.581487
Algeria,DZA,Africa,2014-01-01,99.84082031,17.39526565,0.018389768,1.56270789,10.28644397,3.136110534,4.709,10.5010004,144.88,0.062956197,38923687.0,29.779,5493.02559
Algeria,DZA,Africa,2015-01-01,99.93136597,17.40592946,0.028116734,1.440700305,11.57861985,3.13304563,4.715,10.34700012,149.14,0.069648116,39728025.0,29.152,4177.892515
Algeria,DZA,Africa,2016-01-01,99.99005127,17.36553915,0.035066586,1.40353134,12.21951971,3.108735712,4.717,10.25199986,147.06,0.059839942,40551404.0,28.541,3946.443977
Algeria,DZA,Africa,2017-01-01,100.0,16.956248433703703,0.072508533,1.035772255,11.94571402,3.1489598887777777,4.717,10.15999985,97.46666666666668,0.044956242,41389198.0,27.948,4044.2766
Angola,AGO,Africa,2007-01-01,37.5,46.27416379,0.00075,0.685840185,5.242278337,2.727199807,13.815,42.24499893,109.65,0.0,20905363.0,42.476,3121.995637
Angola,AGO,Africa,2009-01-01,32.32411957,46.75543435,0.000465,0.68303153,6.62119707,3.208470362,12.367,46.50799942,116.54,0.0,22514281.0,40.966,3122.780766
Angola,AGO,Africa,2010-01-01,33.39371109,46.83564611,0.000379,0.648022234,6.180293181,3.288682121,11.68,48.89899826,123.19,0.0,23356246.0,40.217,3587.883798
Angola,AGO,Africa,2013-01-01,36.87238312,47.47734018,0.00197436,0.520684904,6.50749254,3.930376193,9.921,50.99499893,137.03,0.0,26015780.0,37.998,5254.882338
Angola,AGO,Africa,2014-01-01,32.0,47.47734018,0.00844074,0.886548352,7.547056779,3.930376193,9.454,50.76800156,137.33,0.0,26941779.0,37.269,5408.410496
Angola,AGO,Africa,2015-01-01,42.0,47.47734018,0.013845865,0.681981159,9.122534471,3.930376193,9.052,50.60300064,139.12,0.0,27884381.0,36.554,4166.979684
Angola,AGO,Africa,2016-01-01,40.66801834,47.47734018,0.038886342,0.550659824,9.831168609,3.930376193,8.716,50.62200165,139.14,0.0,28842484.0,35.851,3506.072885
